number_of_rooms,floor,area,address,date,price
2,17,52.0,Фирдавси,Сегодня 19:14,455000
3,17,70.0,63 мкр,Сегодня 19:14,370000
3,14,109.0,Кохи Борбад,Сегодня 19:12,570000
1,4,60.0,Шохмансур,Сегодня 19:06,420000
4,3,75.0,,Сегодня 19:01,639000
3,5,87.0,Политехникум,Сегодня 19:01,550000
4,7,153.0,Овир,Сегодня 19:00,2093040
2,7,95.0,Шохмансур,Сегодня 19:00,685000
1,7,66.0,,Сегодня 18:57,413820
1,5,53.0,,Сегодня 18:54,332310
3,10,92.0,Зарафшон,Сегодня 18:53,570000
2,8,80.0,92 мкр,Сегодня 18:53,592000
3,7,70.0,92 мкр,Сегодня 18:50,57000
2,2,60.0,91 мкр,Сегодня 18:41,500000
2,7,55.0,63 мкр,Сегодня 18:38,435000
1,7,54.0,Гипрозем,Сегодня 18:28,201999
2,16,78.0,Напротив отеля Hilton,Сегодня 18:23,371000
2,5,60.0,Фирдавси,Сегодня 18:21,465000
2,9,64.0,Зарафшон-2,Сегодня 18:16,200000
3,3,75.0,Фирдавси,Сегодня 18:08,590000
2,6,71.0,Н.Сино,Сегодня 18:08,270000
2,1,60.0,91 мкр,Сегодня 18:06,521082
2,4,37.0,цирк,Сегодня 18:01,380000
1,12,64.0,Караболо,Сегодня 18:00,344000
2,3,49.0,Фирдавси,Сегодня 17:52,173000
2,4,49.0,Фирдавси 1-ум куча,Сегодня 17:52,288000
2,7,43.0,Мадад,Сегодня 17:49,345000
1,6,46.0,Сино,Сегодня 17:49,280000
2,2,78.0,Сино,Сегодня 17:46,456000
2,4,49.0,Фирдавси Гипразем Сомони 1,Сегодня 17:40,280000
2,5,41.0,Фирдавси,Сегодня 17:40,252000
2,6,65.0,Караболо,Сегодня 17:37,625000
2,9,88.0,Шохмансур,Сегодня 17:37,812500
1,2,51.0,Шохмансур,Сегодня 17:36,470000
3,10,90.0,Овир,Сегодня 17:36,461700
2,14,82.0,Профсоюз,Сегодня 17:35,448000
1,14,62.0,Профсоюз,Сегодня 17:35,340000
3,5,160.0,Спартак,Сегодня 17:35,1058000
2,10,87.0,Шохмансур,Сегодня 17:33,406000
1,11,57.0,Шохмансур,Сегодня 17:33,266000
3,10,104.0,Исмоил Сомони,Сегодня 17:32,640000
3,15,116.0,Айни 49,Сегодня 17:32,634700
1,14,57.0,Айни,Сегодня 17:32,318400
1,12,74.0,Айни 63,Сегодня 17:31,430000
1,10,47.0,Чал Чам,Сегодня 17:31,198200
1,8,47.0,Рынок Джал-Джам,Сегодня 17:30,203000
2,13,79.0,63 мкр,Сегодня 17:29,480000
2,9,88.0,Шохмансур,Сегодня 17:29,371000
1,7,61.0,,Сегодня 17:28,350000
2,7,62.0,,Сегодня 17:28,367000
1,11,50.0,Зелёный базар,Сегодня 17:27,212000
2,16,71.0,Фирдавси,Сегодня 17:26,524000
1,8,54.0,Гипрозем,Сегодня 17:25,196000
1,11,47.0,Вахдат,Сегодня 17:25,172000
1,12,68.0,Бофанда,Сегодня 17:24,295000
2,9,54.0,Зелёный Базар,Сегодня 17:24,233500
2,11,74.0,Хитой бозор,Сегодня 17:23,320000
1,5,47.0,Яккачинор Цирк,Сегодня 17:19,237000
1,5,58.0,Яккачинор Цирк,Сегодня 17:15,350000
2,5,73.0,Якачинор Цирк,Сегодня 17:15,440000
1,11,65.0,,Сегодня 17:14,310000
2,14,82.0,Сельхозинститут,Сегодня 17:14,610000
3,9,71.0,Шохмансур,Сегодня 17:07,500000
3,3,76.0,Фирдавси,Сегодня 17:07,430000
2,3,64.0,Дом Печать,Сегодня 17:07,583999
1,14,59.0,Сельхозинститут,Сегодня 17:04,438000
1,3,33.0,профсоюз Асадулло Гуломова 18/8,Сегодня 17:01,270000
2,2,37.0,Фирдавси,Сегодня 16:54,300000
2,2,55.0,профсоюз,Сегодня 16:53,350000
4,4,209.0,Ориентир театр Оперы и балета,Сегодня 16:44,2820000
4,7,86.0,46 мкр,Сегодня 16:44,500000
2,13,88.0,46 мкр,Сегодня 16:28,465000
2,12,72.0,Шозмансур,Сегодня 16:16,445000
1,3,40.0,Корвон,Сегодня 16:14,200000
1,3,41.0,Фирдавси,Сегодня 16:13,245000
2,12,72.0,Шохмансур,Сегодня 16:10,445000
4,1,150.0,Фирдавси,Сегодня 16:03,790650
3,3,70.0,,Сегодня 15:59,500000
2,6,65.0,Караболо,Сегодня 15:57,625000
1,6,44.0,,Сегодня 15:56,302100
2,14,62.0,Яккачинор,Сегодня 15:51,285000
3,6,74.0,33 мкр,Сегодня 15:48,620000
3,2,52.0,Рудаки,Сегодня 15:48,160000
3,9,93.0,И. Сомони,Сегодня 15:44,470000
2,7,66.0,И. Сомони,Сегодня 15:44,410000
2,5,67.0,И. Сомони,Сегодня 15:43,416000
1,5,59.0,И. Сомони,Сегодня 15:43,366000
2,10,66.0,И. Сомони,Сегодня 15:43,340000
3,3,106.0,И. Сомони,Сегодня 15:43,658000
2,2,110.0,Исмойли Сомони,Сегодня 15:40,1596000
2,10,67.0,И. Сомони,Сегодня 15:37,755000
1,1,30.0,Мехкалон,Сегодня 15:30,285000
2,10,64.0,Исмоили Сомони,Сегодня 15:26,457000
1,3,42.0,Сино,Сегодня 15:17,300000
1,4,42.0,Цирк,Сегодня 15:16,285000
3,5,75.0,9 км,Сегодня 15:15,460000
2,13,52.0,Испечак 2,Сегодня 15:14,364160
2,2,67.0,Зарнисор,Сегодня 15:09,499000
2,12,95.0,И. Сомони,Сегодня 15:07,690000
2,11,63.0,112мкр,Сегодня 15:06,445000
3,7,120.0,,Сегодня 15:02,1220000
3,1,68.0,103 мкр,Сегодня 15:00,535000
2,2,55.0,Шохмансур,Сегодня 14:59,380000
3,6,50,,Сегодня 14:58,450000
3,5,56.0,Шохмансур 9 км,Сегодня 14:57,380000
1,13,40.0,Зарафшон,Сегодня 14:55,120000
1,6,30.0,сино,Сегодня 14:52,170000
4,2,80.0,Автовокзал,Сегодня 14:50,720000
3,4,68.0,82мкр,Сегодня 14:48,535000
2,1,38.0,Сино,Сегодня 14:46,250000
1,3,32.0,Сино,Сегодня 14:46,200000
2,14,60.0,Испечак2,Сегодня 14:46,430000
2,12,66.0,Караболо,Сегодня 14:45,500000
2,4,50,,Сегодня 14:45,729600
3,1,62.0,маяковский,Сегодня 14:43,400000
2,12,72.0,Сино,Сегодня 14:40,490200
3,1,50,,Сегодня 14:38,450000
2,10,53.0,,Сегодня 14:33,260000
2,8,77.0,Бозори Мехргон,Сегодня 14:33,328000
2,5,42.0,мавлоно 9 километр,Сегодня 14:33,123000
2,10,80.0,Профсоюз,Сегодня 14:31,350000
1,1,37.0,33 мкр,Сегодня 14:31,181600
3,7,82.0,Шоҳмансур,Сегодня 14:31,595000
3,9,50,,Сегодня 14:29,850000
2,14,68.0,,Сегодня 14:28,799000
2,3,39.0,Сино,Сегодня 14:26,461000
3,5,75.0,9 км,Сегодня 14:25,467400
3,11,202.0,Шохмансур,Сегодня 14:24,1900000
2,7,86.0,Зеленый Бозор,Сегодня 14:23,353000
3,8,96.0,Зеленый базар,Сегодня 14:22,404000
1,5,75.0,поёни корвон,Сегодня 14:22,200000
2,11,108.0,,Сегодня 14:20,925000
3,6,149.0,,Сегодня 14:17,1800000
2,2,77.0,Шохмансур,Сегодня 14:16,625000
2,8,60.0,Фирдавси,Сегодня 14:05,315000
3,14,78.0,Испечак 2,Сегодня 14:00,470000
3,10,104.0,Ашан,Сегодня 13:54,652000
3,10,183.0,,Сегодня 13:51,980000
1,4,61.0,Поворот аэропорта,Сегодня 13:50,399000
2,5,70.0,Фирдавси,Сегодня 13:49,370000
3,16,105.0,Поворот Аэропорта,Сегодня 13:48,515000
1,4,55.0,Фирдавси,Сегодня 13:48,282150
2,4,83.0,Cадбарг,Сегодня 13:48,1200000
2,12,74.0,Шохмансур,Сегодня 13:48,421000
2,9,85.0,Аэропорт,Сегодня 13:47,629000
2,16,78.0,поворот аэропорта,Сегодня 13:47,372000
4,1,85.0,Сино,Сегодня 13:47,550000
2,9,88.0,Шохмансур,Сегодня 13:47,798000
1,3,49.0,Поворот Аэропорта,Сегодня 13:47,379000
3,10,104.0,Исмоили Сомони,Сегодня 13:47,639000
2,14,80.0,,Сегодня 13:46,428640
2,16,72.0,,Сегодня 13:44,400000
2,7,48.0,Фирдавси,Сегодня 13:43,380000
1,5,66.0,Яккачинор,Сегодня 13:41,430000
4,4,85.0,,Сегодня 13:41,695000
2,12,45.0,нохияи Шохмансур напротив гостиница Hilton,Сегодня 13:37,567000
2,1,71.0,и Сомони,Сегодня 13:36,550000
2,4,84.0,Голубой Экран,Сегодня 13:30,650000
2,3,100.0,Яккачинор Цирк,Сегодня 13:30,649000
2,14,71.0,,Сегодня 13:29,450000
2,13,71.0,Ватан,Сегодня 13:29,590000
2,4,63.0,Ватан,Сегодня 13:29,450000
2,15,68.0,Цирк,Сегодня 13:28,330000
1,13,46.0,Сино,Сегодня 13:25,260000
3,4,65.0,,Сегодня 13:24,460000
1,11,42.0,Альфемо,Сегодня 13:24,450000
2,2,44.0,,Сегодня 13:24,240000
1,1,38.0,Фирдавси,Сегодня 13:23,190000
4,6,120.0,Фирдавси Театри Ҷавонон,Сегодня 13:19,700000
3,4,78.0,Рудаки,Сегодня 13:19,305000
1,16,60.0,Шохмансур,Сегодня 13:19,358000
2,0,65.0,сино,Сегодня 13:18,210000
2,9,50,,Сегодня 13:15,750000
3,13,88.0,Диагностика,Сегодня 13:05,630000
1,2,50.0,Н. Шохмансур,Сегодня 13:01,316000
1,8,50.0,Н.Шохмансур,Сегодня 13:01,267000
3,6,105.0,Шохмансур,Сегодня 13:01,560000
1,6,63.0,Шохмансур,Сегодня 13:01,340000
2,3,72.0,Н.Шохмансур,Сегодня 13:01,420000
1,7,63.0,Шохмансур,Сегодня 13:01,340000
3,11,106.0,Фирдавси,Сегодня 13:00,545000
2,9,88.0,Шохмансур,Сегодня 13:00,475000
1,9,130.0,Шохмансур,Сегодня 13:00,696000
2,9,118.0,Шохмансур,Сегодня 13:00,637000
2,6,88.0,н Фирдаси,Сегодня 12:59,449000
1,7,48.0,Фирдаси,Сегодня 12:59,247000
2,14,85.0,Шохмансур,Сегодня 12:59,538000
1,7,63.0,Сомони,Сегодня 12:59,376000
2,11,85.0,,Сегодня 12:59,455000
2,11,97.0,н.Сомони,Сегодня 12:58,520000
2,10,74.0,Сино,Сегодня 12:58,354000
2,10,75.0,н.Сино,Сегодня 12:58,359000
3,10,112.0,н.Сино,Сегодня 12:58,536000
3,14,112.0,Караболо,Сегодня 12:58,740000
3,3,75.0,65 мкр,Сегодня 12:57,600000
3,10,128.0,Опера и балет,Сегодня 12:54,588000
1,8,65.0,Молодёжный театр,Сегодня 12:52,295000
3,8,98.0,Молодёжный,Сегодня 12:50,418000
2,7,42.0,Н. Сино маҳаллаи Навбаҳор ( Тоҷирон),Сегодня 12:49,220000
3,4,84.0,91 мкр,Сегодня 12:48,745000
2,1,27.0,Фирдавси 61 мкр,Сегодня 12:36,360000
2,15,73.0,Фирдавси,Сегодня 12:34,450000
3,10,110.0,Аэропорт,Сегодня 12:33,530000
2,3,59.0,,Сегодня 12:32,425000
3,10,105.0,Чал-чам,Сегодня 12:30,410000
2,1,50,,Сегодня 12:28,250000
2,3,42.0,Сино,Сегодня 12:22,230000
5,3,90.0,82 мкр,Сегодня 12:17,700000
3,2,80.0,Фабрика ширин,Сегодня 12:15,437000
2,9,77.0,Шохмансур,Сегодня 12:11,392000
2,8,68.0,,Сегодня 12:05,398000
3,13,97.0,Шохмансур,Сегодня 12:05,705000
1,6,56.0,Шохмансур,Сегодня 12:03,450000
1,4,42.0,Зарнисор,Сегодня 12:03,235000
2,3,65.0,91 мкр,Сегодня 12:03,570000
1,5,48.0,Фирдавси,Сегодня 12:02,235000
3,7,130.0,Шохмансур,Сегодня 11:59,925000
1,6,50.0,Султони Кабир,Сегодня 11:59,254000
3,14,122.0,Шохмансур,Сегодня 11:58,700000
3,4,65.0,Н.Сино,Сегодня 11:58,600000
2,3,42.0,102 мкр,Сегодня 11:57,420000
3,4,60.0,Профсоюз,Сегодня 11:56,365000
1,12,59.0,Шохмансур,Сегодня 11:56,400000
2,1,37.0,,Сегодня 11:55,150000
3,18,135.0,исмоили сомони,Сегодня 11:54,730000
1,3,25.0,,Сегодня 11:52,250000
5,11,185.0,,Сегодня 11:52,1476000
1,8,50.0,Зарнисор,Сегодня 11:52,218000
1,9,63.0,,Сегодня 11:52,266500
3,18,126.0,Ватан,Сегодня 11:52,1083000
1,7,42.0,,Сегодня 11:52,338000
2,1,50,,Сегодня 11:52,390
2,6,60.0,,Сегодня 11:52,500000
2,8,93.0,,Сегодня 11:50,435000
2,15,50,,Сегодня 11:46,590000
1,1,16.0,Маяковский,Сегодня 11:40,136000
1,2,33.0,Гипрозем,Сегодня 11:39,210000
2,4,40.0,Сино,Сегодня 11:38,370000
3,3,72.0,61 мкр,Сегодня 11:38,500000
2,8,48.0,Сино,Сегодня 11:37,350000
2,3,50,,Сегодня 11:34,300000
2,8,76.0,,Сегодня 11:33,408000
1,13,58.0,Цирк (Яккачинор),Сегодня 11:33,299000
2,12,75.0,Гипрозем,Сегодня 11:33,300000
1,11,48.0,Гипрозем,Сегодня 11:33,195000
2,7,83.0,Зеленый Бозор,Сегодня 11:33,350000
1,8,55.0,Зеленый Бозор,Сегодня 11:33,240000
4,4,134.0,Ипподром,Сегодня 11:32,1250000
3,10,102.0,Хитой бозор,Сегодня 11:32,370000
2,14,85.0,Бофанда,Сегодня 11:32,385000
1,1,22.0,Фирдавси,Сегодня 11:31,80000
4,6,157.0,Здание Пойтахт 80,Сегодня 11:31,1980000
4,9,177.0,,Сегодня 11:30,1150150
3,7,90.0,Центр,Сегодня 11:30,889200
2,16,75.0,Шохмансур,Сегодня 11:30,370000
3,8,84.0,112мкр,Сегодня 11:29,484000
2,15,85.0,ул. Айни,Сегодня 11:25,391000
1,4,35.0,91 мкр,Сегодня 11:25,342000
3,15,132.0,Шохмансур,Сегодня 11:25,632000
3,6,90.0,,Сегодня 11:25,775200
4,11,140.0,И.Сомонӣ,Сегодня 11:25,845880
2,8,65.0,Поворот Аэропорта,Сегодня 11:24,400000
3,2,114.0,Посольство Казахстан,Сегодня 11:23,988000
3,1,103.0,,Сегодня 11:23,967300
4,3,58.0,И.Сомони,Сегодня 11:22,605000
1,3,35.0,61 мкр,Сегодня 11:22,289000
1,2,75.0,,Сегодня 11:19,649000
1,9,43.0,,Сегодня 11:19,319200
2,4,80.0,,Сегодня 11:19,969000
3,2,70.0,101 мкр,Сегодня 11:17,646000
2,4,78.0,центральный ОВИР,Сегодня 11:17,638000
2,12,86.0,,Сегодня 11:16,670000
3,12,150.0,,Сегодня 11:16,720000
3,9,84.0,,Сегодня 11:16,385000
4,3,235.0,наздикии бозори Мехргон,Сегодня 11:16,2965000
2,14,95.0,,Сегодня 11:16,509000
3,16,118.0,,Сегодня 11:16,578000
2,13,100.0,ул. Айни,Сегодня 11:16,565440
2,11,70.0,Шохмансур,Сегодня 11:15,530000
3,7,106.0,Лучоб,Сегодня 11:15,387000
1,10,50,,Сегодня 11:15,223000
2,17,82.0,Молодежный театр,Сегодня 11:15,374000
1,4,64.0,Лучоб,Сегодня 11:15,250000
1,5,60.0,Лучоб,Сегодня 11:15,234000
2,8,85.0,92 мкр,Сегодня 11:14,500000
1,8,50.0,Сино,Сегодня 11:14,285000
2,8,50.0,Испечак,Сегодня 11:14,285000
5,12,163.0,роддом 2,Сегодня 11:14,930000
3,16,116.0,,Сегодня 11:14,595000
3,5,165.0,И.Сомонӣ,Сегодня 11:14,1037000
3,16,82.0,Зарафшон,Сегодня 11:12,170900
2,12,45.0,Нохия Шохмансур напротив гостиница Hilton,Сегодня 11:10,565000
2,5,56.0,Сино.,Сегодня 11:09,400000
2,9,91.0,Гранд отель,Сегодня 11:07,568000
2,6,85.0,голубой экран,Сегодня 11:07,530000
1,15,52.0,Гранд Отель,Сегодня 11:06,330000
2,10,52.0,Шохмансур,Сегодня 11:06,507000
2,9,68.0,Шохмансур,Сегодня 11:06,830000
2,12,77.0,Шохмансур,Сегодня 11:06,455000
2,8,88.0,Зеленый бозор,Сегодня 11:06,372000
3,14,120.0,Бофанда,Сегодня 11:06,543000
2,15,50.0,Шоҳмансур,Сегодня 11:06,295000
1,12,61.0,Шохмансур,Сегодня 11:06,368000
2,14,76.0,Центр,Сегодня 11:04,410000
1,10,43.0,Гаи-Балх,Сегодня 11:01,152000
1,9,55.0,Исмоили Сомони,Сегодня 11:01,295000
1,12,57.0,Айни,Сегодня 11:01,357390
2,12,72.0,Рынок Балх,Сегодня 11:01,240240
2,8,76.0,Калинин,Сегодня 11:00,519840
1,15,50.0,Шоҳмансур,Сегодня 11:00,295000
2,8,100.0,Калинин,Сегодня 10:59,684000
3,13,120.0,Проспект Рудаки 126,Сегодня 10:59,1504800
3,3,106.0,Палас Бухоро,Сегодня 10:59,785460
3,6,106.0,Мачити Катар,Сегодня 10:58,422940
3,15,110.0,И.Сомони,Сегодня 10:57,1482500
3,8,142.0,Калинин,Сегодня 10:56,971280
3,9,130.0,Зеленый базар,Сегодня 10:56,837000
3,7,97.0,92 мкр,Сегодня 10:52,586000
2,11,92.0,Дом Печать,Сегодня 10:45,575000
3,8,126.0,Ватан,Сегодня 10:44,735000
1,17,63.0,Караболо,Сегодня 10:43,625000
2,18,101.0,Дом Печать,Сегодня 10:42,585000
3,12,165.0,Спартак,Сегодня 10:42,944000
2,3,63.0,,Сегодня 10:41,460000
3,16,84.0,,Сегодня 10:41,415000
1,15,59.0,Поворот Аэропорта,Сегодня 10:41,288000
2,16,84.0,,Сегодня 10:41,415000
2,17,135.0,92 мкр,Сегодня 10:41,395000
2,11,101.0,,Сегодня 10:41,630000
2,14,100.0,,Сегодня 10:41,599900
2,5,95.0,Центр,Сегодня 10:41,1083000
2,2,79.0,Хитой бозор,Сегодня 10:38,367000
2,3,45.0,Фирдавси,Сегодня 10:37,337000
2,4,48.0,Н.Фирдавси тереторияи Цирк назди мактаби 72,Сегодня 10:37,300000
1,10,60.0,Шохмансур,Сегодня 10:37,351000
1,10,65.0,Наврузгох,Сегодня 10:36,332000
2,10,52.0,Шохмансур гостиница Hilton,Сегодня 10:34,507000
1,11,48.0,Гипрозем,Сегодня 10:34,285000
2,8,78.0,Наврузгох,Сегодня 10:33,398000
4,8,90.0,84,Сегодня 10:33,612000
2,12,72.0,Гаи,Сегодня 10:30,229000
2,2,40.0,,Сегодня 10:30,354000
3,7,86.0,103,Сегодня 10:25,544000
1,12,60.0,Испечак,Сегодня 10:22,229000
2,2,55.0,82 мкр,Сегодня 10:20,465000
1,11,42.0,Шохмансур,Сегодня 10:18,201955
2,8,43.0,Шоҳмансур,Сегодня 10:18,221427
2,8,90.0,Шохмансур,Сегодня 10:17,460192
4,9,160.0,,Сегодня 10:17,880000
4,4,64.0,33 мкр,Сегодня 10:17,535000
2,4,50.0,Фирдавси,Сегодня 10:16,410000
2,13,67.0,Мардон,Сегодня 10:15,310000
2,5,75.0,Зарафшон,Сегодня 10:15,600000
2,4,58.0,Зарафшон,Сегодня 10:10,430000
2,5,55.0,9-км,Сегодня 10:05,285000
2,8,78.0,9-км,Сегодня 10:05,342000
6,9,357.0,82 мкр,Сегодня 10:03,3420000
3,3,110.0,Дом Печать,Сегодня 10:03,1254000
3,3,75.0,,Сегодня 10:02,379000
3,14,178.0,Центр ул. Пушкина,Сегодня 10:00,2450000
1,13,55.0,Исмоили Сомони,Сегодня 10:00,379500
2,6,51.0,Шохмансур,Сегодня 09:59,499000
4,7,50,,Сегодня 09:54,680000
2,1,54.0,112мкр,Сегодня 09:54,406000
1,15,62.0,Соҳили,Сегодня 09:54,238000
2,15,74.0,Испечак,Сегодня 09:53,265000
1,8,50.0,Зарафшон,Сегодня 09:52,342000
3,1,48.0,7 км,Сегодня 09:51,353000
3,9,87.0,И. Сомонӣ ул. Х Шерози 17/4кв.34,Сегодня 09:50,487000
3,7,82.0,103мкр,Сегодня 09:47,545000
3,12,100.0,Садбарг,Сегодня 09:42,520000
4,4,65.0,Фирдавси,Сегодня 09:39,550000
2,2,66.0,92 мкр,Сегодня 09:38,513000
2,9,62.0,Шохмансур,Сегодня 09:38,704000
2,4,47.0,Фирдавси,Сегодня 09:36,200000
3,2,93.0,8 марта,Сегодня 09:34,1081100
3,8,84.0,112мкр,Сегодня 09:30,483650
3,9,70.0,Шоҳмансур,Сегодня 09:29,479999
2,7,71.0,Шохмансур,Сегодня 09:26,330000
2,2,79.0,Хитой Бозор,Сегодня 09:26,388000
3,9,70.0,Аэропорт,Сегодня 09:26,530000
1,5,47.0,,Сегодня 09:26,236000
1,7,46.0,Овир,Сегодня 09:26,420000
2,8,75.0,Казинои Саидшох Гулистон,Сегодня 09:26,350500
1,7,53.0,Казинои Саидшох Гулистон,Сегодня 09:26,253700
3,9,89.0,Испечак,Сегодня 09:26,570000
2,11,76.0,Кольцевой Яккачинор,Сегодня 09:26,345000
2,10,111.0,92мкр,Сегодня 09:21,569000
3,9,137.0,,Сегодня 09:20,593500
2,13,120.0,,Сегодня 09:20,1254000
3,7,128.0,,Сегодня 09:19,862500
3,1,66.0,Поворот Ленинград,Сегодня 09:13,318640
2,12,64.0,,Сегодня 09:08,356000
4,3,95.0,зарафшон,Сегодня 09:03,500000
1,4,42.0,112мкр,Сегодня 09:02,290000
3,9,105.0,,Сегодня 09:02,610000
1,1,42.0,102мкр,Сегодня 09:02,273000
3,12,137.0,Бофанда,Сегодня 09:01,1015000
1,16,55.0,Мардон,Сегодня 09:01,220000
2,6,71.0,Мардон,Сегодня 09:01,379000
2,7,78.0,Дом Печать,Сегодня 09:01,800000
1,4,55.0,Мардон,Сегодня 09:01,293000
2,5,72.0,Яккачинор,Сегодня 09:01,439000
1,5,58.0,Яккачинор,Сегодня 09:00,396000
2,14,56.0,82 мкр,Сегодня 08:55,419000
3,4,76.0,Молодежный,Сегодня 08:55,425005
1,9,60.0,Маяковский,Сегодня 08:53,330000
3,11,140.0,Овир,Сегодня 08:53,1596000
1,8,48.0,Гипрозем,Сегодня 08:53,179999
3,10,116.0,Овир (Исмоили Сомони ),Сегодня 08:53,992000
2,5,57.0,Исмоил Сомони,Сегодня 08:42,750000
1,8,40.0,Колхоз России,Сегодня 08:41,273000
3,1,50.0,Жилмассив,Сегодня 08:41,342000
4,12,200.0,Исмоили Сомони,Сегодня 08:29,2034000
4,2,200.0,Сомони парки Айни,Сегодня 08:29,800000
2,10,60.0,,Сегодня 08:17,502740
2,16,71.0,Фирдавси,Сегодня 08:14,485000
2,2,50.0,Сино,Сегодня 08:00,220000
1,3,38.0,Шохмансур,Сегодня 07:55,290000
2,10,90.0,Скорая помощь,Сегодня 07:54,513000
3,10,140.0,Центр (на против Опера Балет),Сегодня 07:42,1140000
3,11,108.0,Центр (Азия Грант),Сегодня 07:42,730000
3,19,298.0,Центр (на против Опера Балет),Сегодня 07:42,1865000
1,4,50,,Сегодня 07:40,380000
2,15,84.0,92мкр,Сегодня 07:38,362292
1,10,40.0,Фирдавси,Сегодня 07:37,238500
1,2,36.0,сино,Сегодня 07:34,160000
4,11,50,,Сегодня 07:30,870000
2,8,76.0,Кохи Борбад,Сегодня 07:24,370918
2,7,57.0,,Сегодня 07:19,198000
1,1,25.0,Фирдавси,Сегодня 07:14,125000
2,1,40.0,Фирдавси,Сегодня 07:14,165000
1,3,51.0,Исмоили Сомони,Сегодня 07:06,380000
4,2,95.0,82 мкр,Сегодня 07:03,678000
2,14,54.0,Шохмансур,Сегодня 07:01,555000
1,2,36.0,Cино,Сегодня 06:55,300000
2,14,88.0,И. Сомони,Сегодня 05:41,635000
2,5,60.0,И Сомони,Сегодня 05:40,365000
1,2,26.0,,Сегодня 04:17,275000
1,4,28.0,Шохмансур,Сегодня 04:00,320000
2,3,49.0,Фирдавси,Сегодня 03:45,220000
1,3,38.0,Фирдавси,Сегодня 03:41,165000
3,2,60.0,Фирдавси,Сегодня 03:34,255000
3,7,105.0,Сино,Сегодня 01:12,780000
1,4,30.0,,Сегодня 01:06,283000
3,4,70.0,102 мкр,Сегодня 01:02,545000
2,4,37.0,Фирдавси,Сегодня 00:54,306000
3,11,93.0,Поворот Аэропорта,Сегодня 00:44,957600
2,5,56.0,Сино,Сегодня 00:38,275000
3,9,105.0,82 мкр,Сегодня 00:04,1089600
2,15,87.0,Айни,Сегодня 00:03,630000
2,1,47.0,Шохмансур,Вчера 23:49,350000
2,7,82.0,Зарафшон,Вчера 23:46,228000
2,13,68.0,,Вчера 23:39,795000
3,2,74.0,,Вчера 23:28,600000
2,15,80.0,Сино,Вчера 23:13,270000
1,2,34.0,7 км,Вчера 23:10,260000
2,12,72.0,Сино,Вчера 23:06,335000
2,5,83.0,исмоили сомони,Вчера 22:44,950000
2,6,78.0,Сино,Вчера 22:44,520000
1,13,56.0,поворот аэропорт,Вчера 22:40,320000
3,5,90.0,92мкр,Вчера 22:31,990000
2,4,74.0,65 мкр,Вчера 22:26,450000
4,15,218.0,Ашан,Вчера 22:09,1855000
2,7,96.0,83 мкр,Вчера 22:07,547200
2,2,96.0,83 мкр,Вчера 22:07,599000
1,2,30.0,Гипрозем,Вчера 22:06,230000
3,2,61.0,Военный городок,Вчера 22:05,400000
1,3,23.0,Военный городок (гипрозем),Вчера 22:05,120000
